timestamp,item_id,type,bloom_level,cluster,predicted_confidence,outcome,interval_before,interval_after,ease,reps,time_taken_s
2026-06-30T17:58:03,u2-differential-mcq-05,mcq,apply,theory-families,90,correct,1,6,2.7,2,11.9
2026-06-30T17:58:59,u2-psychodynamic-cloze-01,cloze,remember,theory-families,10,missed,1,1,2.28,0,37.0
2026-06-30T17:59:59,u1-upr-apply-01,vignette,apply,rogers-conditions,70,shaky,3,2,2.36,1,52.0
2026-06-30T18:00:09,u2-cbt-cloze-01,cloze,remember,theory-families,100,correct,1,6,2.7,2,9.1
2026-06-30T18:00:18,u2-existential-cloze-01,cloze,remember,theory-families,100,correct,0,1,2.6,1,8.4
2026-06-30T18:01:32,u2-stance-evaluate-01,explain,evaluate,theory-families,50,correct,1,6,2.7,2,44.4
2026-06-30T18:03:50,u1-empathy-analyze-01,compare,analyze,rogers-conditions,85,shaky,3,2,2.36,1,97.1
2026-06-30T18:05:49,u2-sfbt-vs-narrative-compare-01,compare,analyze,theory-families,70,shaky,1,1,2.04,0,61.0
2026-06-30T18:06:00,u2-differential-mcq-03,mcq,apply,theory-families,100,correct,0,1,2.6,1,9.1
2026-06-30T18:06:52,u2-integrative-evaluate-01,explain,evaluate,theory-families,70,shaky,1,1,2.46,1,39.7
2026-06-30T18:07:00,u2-differential-mcq-02,mcq,apply,theory-families,100,correct,1,6,2.7,2,7.1
2026-06-30T18:09:12,u2-personcentered-apply-01,vignette,apply,theory-families,5,shaky,0,1,2.36,0,63.3
2026-06-30T18:10:34,u2-ellis-vs-beck-compare-01,compare,analyze,theory-families,60,correct,1,1,2.28,1,42.2
2026-06-30T18:15:45,u2-psychodynamic-apply-01,vignette,apply,theory-families,70,correct,0,1,2.6,1,36.9
2026-06-30T18:16:23,u1-upr-understand-01,explain,understand,rogers-conditions,80,correct,3,6,2.6,2,30.3
2026-06-30T18:17:09,u2-psychodynamic-stuckbetter-01,explain,understand,theory-families,70,correct,1,1,2.46,1,30.4
2026-06-30T18:18:09,u2-existential-apply-01,vignette,apply,theory-families,75,shaky,1,1,2.04,0,49.0
2026-06-30T18:19:43,u1-stance-apply-01,vignette,apply,microskill-types,80,correct,3,6,2.6,2,56.7
2026-06-30T18:20:47,u2-personcentered-stuckbetter-01,explain,understand,theory-families,50,shaky,1,1,2.22,0,41.6
2026-06-30T20:47:12,u1-commonfactors-evaluate-01,explain,evaluate,common-factors,65,shaky,1,1,2.36,0,8730.1
2026-06-30T20:47:52,u2-familysystems-cloze-01,cloze,remember,theory-families,0,missed,1,1,2.04,0,24.8
2026-06-30T20:48:28,u2-cbt-stuckbetter-01,explain,understand,theory-families,50,correct,1,6,2.7,2,23.6
2026-06-30T20:49:01,u1-stance-evaluate-01,explain,evaluate,microskill-types,80,correct,1,1,2.46,1,26.2
2026-06-30T20:50:22,u2-unitofanalysis-analyze-01,explain,analyze,theory-families,75,correct,1,6,2.7,2,62.4
